seed,mixing,interaction,rA,rV,rate,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv,pair_digest
101,random,directed,0.308497,0.191588,0,0.962577,0.710522,0.959768,0.709191,0.0144375,0.012375,0.0614375,0.212438,0.254388,0.03875,0.918829,0.0274403,11912673417817115995
202,random,directed,0.389265,0.488331,0,0.970898,0.624491,0.969135,0.621818,0.128188,0.0125625,0.059,0.209625,0.248457,0.0378125,0.926266,0.0318135,12946815473460043652
101,random,dyadic,0.300007,0.189976,0,0.978781,0.810896,0.976731,0.810914,0.01075,0.0125625,0.06325,0.221875,0.254388,0.03875,0.993987,0.00877108,11912673417817115995
202,random,dyadic,0.294658,0.332828,0,0.982302,0.747563,0.980966,0.746542,0.0621875,0.012,0.0624375,0.217438,0.248457,0.0378125,0.993354,0.00830125,12946815473460043652
101,metric,directed,0.308497,0.191588,0,0.962577,0.710522,0.959768,0.709191,0.0144375,0.012375,0.0614375,0.212438,0.254388,0.03875,0.918829,0.0274403,11912673417817115995
202,metric,directed,0.389265,0.488331,0,0.970898,0.624491,0.969135,0.621818,0.128188,0.0125625,0.059,0.209625,0.248457,0.0378125,0.926266,0.0318135,12946815473460043652
101,metric,dyadic,0.300007,0.189976,0,0.978781,0.810896,0.976731,0.810914,0.01075,0.0125625,0.06325,0.221875,0.254388,0.03875,0.993987,0.00877108,11912673417817115995
202,metric,dyadic,0.294658,0.332828,0,0.982302,0.747563,0.980966,0.746542,0.0621875,0.012,0.0624375,0.217438,0.248457,0.0378125,0.993354,0.00830125,12946815473460043652
