mixing,interaction,rA_mean,rV_mean,rate_mean,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv
random,directed,0.348881,0.33996,0,0.966737,0.667506,0.964452,0.665504,0.0713125,0.0124688,0.0602188,0.211031,0.251422,0.0382813,0.922547,0.0296269
random,dyadic,0.297332,0.261402,0,0.980542,0.779229,0.978848,0.778728,0.0364688,0.0122813,0.0628438,0.219656,0.251422,0.0382813,0.993671,0.00853616
metric,directed,0.348881,0.33996,0,0.966737,0.667506,0.964452,0.665504,0.0713125,0.0124688,0.0602188,0.211031,0.251422,0.0382813,0.922547,0.0296269
metric,dyadic,0.297332,0.261402,0,0.980542,0.779229,0.978848,0.778728,0.0364688,0.0122813,0.0628438,0.219656,0.251422,0.0382813,0.993671,0.00853616
