seed,offset,N,steps,families,parity_even,parity_odd,n_edges,density,components,degree_mean,degree_sd,strength_mean,strength_sd,edge_weight_min,edge_weight_max,edge_weight_mean,edge_weight_cv,global_clustering,A_assort_unweighted,V_assort_unweighted,A_assort_weighted,V_assort_weighted,mean_abs_dA,mean_abs_dV,weighted_abs_dA,weighted_abs_dV,M_DY_minus_D_rA,M_DY_minus_D_rV
505,1,4000,12000,1000,5939,6061,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5939.0,6061.0,6000.0,0.0101666666667,0.0,0.000507356686919,0.000421055036065,0.000400584159319,0.000583938907962,0.223702128586,0.191039482594,0.223704457557,0.191027302738,-0.17229900000000004,-0.098047
606,1,4000,12000,1000,6048,5952,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5952.0,6048.0,6000.0,0.008,0.0,-0.00894012085662,0.023059612131,-0.00887063262293,0.0229855187949,0.223702561571,0.183090800721,0.223692097262,0.18310315128,0.03456499999999996,0.021914999999999962
707,1,4000,12000,1000,5886,6114,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5886.0,6114.0,6000.0,0.019,0.0,0.0128918175198,-0.00481766718068,0.013223535235,-0.00500265891191,0.216097306789,0.190807686824,0.216056179794,0.19083015488,-0.039862000000000064,-0.03753000000000001
808,1,4000,12000,1000,5973,6027,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5973.0,6027.0,6000.0,0.0045,0.0,-0.00813822965935,-0.0200600464536,-0.00811709194379,-0.0201227484566,0.221328836831,0.191032602907,0.221326701037,0.191037949597,0.3215135,0.2176123
909,1,4000,12000,1000,5981,6019,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5981.0,6019.0,6000.0,0.00316666666667,0.0,0.0136053732626,-0.00203813630015,0.0137054579106,-0.00202330760396,0.222112766034,0.188162609059,0.222101334248,0.188161885137,-0.005589000000000066,-0.02688299999999999
1010,1,4000,12000,1000,5947,6053,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5947.0,6053.0,6000.0,0.00883333333333,0.0,-0.01121724552,-0.00294472166877,-0.011314334178,-0.00302908332548,0.218227780389,0.188372756604,0.218238215342,0.188384670882,-0.19905299999999998,-0.106402
1111,1,4000,12000,1000,5989,6011,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5989.0,6011.0,6000.0,0.00183333333333,0.0,0.0101354437019,-0.0231081896784,0.0101533042295,-0.0231047663606,0.224693958747,0.192141670021,0.224692625843,0.19214077642,0.12260300000000002,0.06106100000000003
1212,1,4000,12000,1000,5936,6064,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5936.0,6064.0,6000.0,0.0106666666667,0.0,-0.00260651763135,-0.000442664802476,-0.00252614136028,-0.000300219597331,0.221940096361,0.185760594667,0.221933510948,0.1857425838,-0.23507699999999998,-0.14659999999999998
101,2,4000,12000,1000,6065,5935,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5935.0,6065.0,6000.0,0.0108333333333,0.0,1.76717684158e-05,0.0285442412065,-0.000135928964569,0.02842761142,0.22247507357,0.184082619063,0.222500926225,0.184096214027,0.05259999999999998,0.02649299999999999
202,2,4000,12000,1000,6013,5987,4000,0.000500125031258,1,2.0,0.0,12000.0,0.0,5987.0,6013.0,6000.0,0.00216666666667,0.0,0.00538903033967,-0.0139965089575,0.00537274367515,-0.0139880409218,0.222836984126,0.191535361293,0.222838186916,0.191532104734,-0.19740000000000002,-0.141876
