offset,M_DY_minus_D_rA_mean,M_DY_minus_D_rV_mean,M_repeat1_mean,M_repeat5_mean,M_repeat20_mean
0,-0.05091999999999999,-0.06457149999999998,0.5225,0.9625,0.995
1,-0.06799249999999998,-0.0869005,0.5225,0.9625,0.995
