seed,mixing,interaction,rA,rV,rate,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,mutual_elev_post,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv,pair_digest
3030,random,directed,0.111655,0.101263,0.243209,0.99813,0.719277,0.998106,0.718567,0.0099745,0.00994692,0.000256333,0.00125888,0.00498538,0.250121,0.000749208,0.776844,0.00741999,10071646235806721820
3131,random,directed,0.546394,0.340629,0.213668,0.997457,0.698324,0.997426,0.697626,0.0123871,0.012355,0.000250375,0.00125229,0.00499604,0.249935,0.000758292,0.776996,0.00762259,9229365724962856925
3232,random,directed,0.0920929,0.103798,0.303855,0.996358,0.694937,0.996316,0.694234,0.0198898,0.0198548,0.000254417,0.00125358,0.00499479,0.250034,0.000746583,0.777045,0.00737839,13671435268397155858
3333,random,directed,0.103996,0.0970995,0.348763,0.996093,0.686476,0.996053,0.685725,0.019963,0.0199229,0.000247542,0.00124483,0.00497408,0.250026,0.000753125,0.777012,0.00748566,2059749156295377661
3434,random,directed,0.0629002,0.0671501,0.263148,0.997538,0.75921,0.997512,0.75856,0.008887,0.00885996,0.000250417,0.00124592,0.00498421,0.25001,0.000757917,0.776969,0.00749343,7553414289207416667
3535,random,directed,0.0430219,0.0655402,0.384438,0.997392,0.521502,0.997363,0.521099,0.0154272,0.01539,0.000250667,0.00124671,0.00498771,0.249993,0.00074875,0.777019,0.00734012,14471077341508696832
3636,random,directed,0.297185,0.244605,0.320682,0.996045,0.652801,0.996002,0.652032,0.0215356,0.0215082,0.000253375,0.00124604,0.00496229,0.250071,0.000752333,0.777107,0.00736979,16185903053348071721
3737,random,directed,0.335017,0.245956,0.455878,0.996508,0.735622,0.996467,0.734909,0.0183633,0.0183254,0.000250583,0.00124825,0.00498692,0.249952,0.000752708,0.776955,0.00732991,5416711868088930675
3838,random,directed,0.263737,0.176468,0.256591,0.997206,0.798192,0.997173,0.797622,0.00723196,0.00721183,0.000248417,0.00125117,0.00497542,0.249944,0.00074975,0.776867,0.00753437,3366072728673555250
3939,random,directed,0.337877,0.250725,0.240764,0.997054,0.755829,0.997017,0.755109,0.00694183,0.00692108,0.000245333,0.00124696,0.00498671,0.250013,0.000746292,0.777082,0.00747506,13885551371623210596
4040,random,directed,0.307977,0.221128,0.262227,0.99637,0.712076,0.996319,0.711371,0.011714,0.0116898,0.000250042,0.00124471,0.00497942,0.249927,0.000747583,0.77696,0.00751424,13341758029431325002
4141,random,directed,0.382208,0.23986,0.256396,0.996735,0.708785,0.996706,0.708041,0.0111862,0.0111619,0.000251167,0.001256,0.00500179,0.250004,0.000749583,0.77689,0.00739515,10471921851167804589
4242,random,directed,0.0454842,0.0556925,0.409473,0.996183,0.705341,0.996144,0.704702,0.019977,0.0199518,0.000255833,0.00125662,0.00498771,0.250047,0.000752542,0.776988,0.0073421,11216438071147082940
4343,random,directed,0.360369,0.258035,0.373903,0.996813,0.693506,0.996778,0.692736,0.0224933,0.0224521,0.000249833,0.00123442,0.00496662,0.249983,0.000737542,0.777129,0.00755753,14660719490780590819
4444,random,directed,0.555756,0.36503,0.231195,0.998612,0.74837,0.998597,0.747661,0.0132635,0.013243,0.000247125,0.00123471,0.00496192,0.250011,0.000750958,0.777085,0.00750679,12858910272898107015
