seed,mixing,interaction,rA,rV,rate,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,mutual_elev_post,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv,pair_digest
1818,metric,directed,0.250533,0.170918,0.259065,0.996761,0.718456,0.996742,0.718138,0.0100551,0.0100477,0.498797,0.968781,0.999665,0.000249997,0.00150558,0.000500125,0,17586438532403991777
1919,metric,directed,0.665255,0.454847,0.167778,0.99697,0.715678,0.996953,0.715311,0.00941075,0.00939533,0.501561,0.968124,0.999666,0.000249972,0.000252542,0.000500125,0,6444216289996203163
2020,metric,directed,0.0782153,0.0475232,0.390784,0.995044,0.752837,0.99502,0.752533,0.0182965,0.0182844,0.501182,0.968137,0.999665,0.000250006,0.000497833,0.000500125,0,14203824128266736466
2121,metric,directed,0.399314,0.298937,0.280411,0.996276,0.740986,0.996256,0.740661,0.00712958,0.007121,0.498499,0.968454,0.999666,0.000250009,0.000749625,0.000500125,0,470293244118626530
2222,metric,directed,0.400645,0.300913,0.350724,0.997256,0.704068,0.997242,0.703728,0.0162553,0.0162422,0.498383,0.968519,0.999665,0.000249996,0.00124963,0.000500125,0,690806196399698726
2323,metric,directed,0.362054,0.276765,0.230159,0.997744,0.729002,0.997732,0.728662,0.00764354,0.00763537,0.501277,0.968433,0.999666,0.000250004,0.000250792,0.000500125,0,16518831560136876437
2424,metric,directed,0.670143,0.429557,0.149668,0.99831,0.74062,0.998299,0.740316,0.0113219,0.0113136,0.499726,0.968886,0.999666,0.000250025,0.000746542,0.000500125,0,3390124477181697281
2525,metric,directed,0.738399,0.470049,0.13488,0.998949,0.72844,0.998942,0.72805,0.00929867,0.00928308,0.497711,0.968526,0.999666,0.000249979,0.00125475,0.000500125,0,1245026577677357165
2626,metric,directed,0.0690289,0.0760543,0.245573,0.996814,0.680188,0.996795,0.679836,0.0154128,0.015398,0.50155,0.968726,0.999666,0.000249956,0.000252792,0.000500125,0,869329739285468153
2727,metric,directed,0.0471762,0.0673235,0.293627,0.997967,0.617457,0.997955,0.617147,0.0192061,0.019192,0.492128,0.970876,0.999666,0.000249998,0,0.000500125,0,12780902941967493027
2828,metric,directed,0.512875,0.363862,0.356628,0.996074,0.729439,0.996053,0.729024,0.0156212,0.0156045,0.496055,0.969207,0.999666,0.000249988,0.00174842,0.000500125,0,534076354844399053
2929,metric,directed,0.636122,0.434072,0.410404,0.996438,0.738177,0.996418,0.737818,0.0171471,0.0171351,0.501187,0.968439,0.999666,0.000249999,0.0005,0.000500125,0,11754423099787532076
3030,metric,directed,0.112773,0.105358,0.244681,0.998106,0.720088,0.998094,0.719743,0.00991042,0.00989617,0.503937,0.96729,0.999666,0.000249856,0.001,0.000500125,0,15376427095147143198
3131,metric,directed,0.545416,0.35126,0.215474,0.997401,0.697154,0.997385,0.69683,0.0123483,0.0123326,0.499268,0.968493,0.999666,0.000249969,0.000748333,0.000500125,0,9994664459323176775
3232,metric,directed,0.0978583,0.102463,0.301604,0.996257,0.684513,0.996236,0.684162,0.0188828,0.0188731,0.498793,0.968372,0.999665,0.000250087,0.001,0.000500125,0,9846777445618850379
3333,metric,directed,0.102454,0.0951405,0.348787,0.996011,0.689233,0.995993,0.688867,0.0202384,0.0202177,0.501541,0.968166,0.999666,0.000249973,0.000252708,0.000500125,0,8825895997207593111
3434,metric,directed,0.0794334,0.0622729,0.262254,0.997527,0.755549,0.997515,0.75525,0.00878563,0.00877783,0.496885,0.969147,0.999666,0.000250003,0.0009995,0.000500125,0,14632231646609225605
3535,metric,directed,0.0418747,0.0651905,0.38658,0.997382,0.528374,0.997368,0.528169,0.0154733,0.0154605,0.50151,0.96841,0.999665,0.000250026,0.000747792,0.000500125,0,2108637305347216239
3636,metric,directed,0.314196,0.263021,0.321535,0.995978,0.643025,0.995957,0.64266,0.0211512,0.0211238,0.498119,0.968784,0.999666,0.000250011,0.000752292,0.000500125,0,6543343146681988703
3737,metric,directed,0.353643,0.252503,0.453351,0.996447,0.732436,0.996426,0.73209,0.0182093,0.0181942,0.50006,0.968373,0.999666,0.000249939,0.00124808,0.000500125,0,16296054133293611688
3838,metric,directed,0.384371,0.242989,0.257086,0.997158,0.795727,0.99714,0.795427,0.00717304,0.00715863,0.498252,0.968776,0.999666,0.000250006,0.00074875,0.000500125,0,10642942659404546619
3939,metric,directed,0.339161,0.248965,0.240368,0.996946,0.75471,0.996927,0.754346,0.00699029,0.00697829,0.501915,0.96819,0.999666,0.000249999,0.0005,0.000500125,0,6058391405990210476
4040,metric,directed,0.311123,0.224187,0.261339,0.996251,0.707531,0.996225,0.707189,0.0116642,0.0116462,0.499063,0.968503,0.999666,0.000250014,0.00125208,0.000500125,0,7294425834470909113
4141,metric,directed,0.38765,0.255419,0.257151,0.996716,0.706559,0.996702,0.706177,0.0110218,0.011002,0.500386,0.968262,0.999666,0.000249978,0.000990333,0.000500125,0,11629758876801713625
4242,metric,directed,0.0477699,0.0577654,0.409168,0.996164,0.706356,0.996144,0.706041,0.0198502,0.0198304,0.499086,0.96895,0.999665,0.000250001,0.000749042,0.000500125,0,17409735103770715606
4343,metric,directed,0.361024,0.275105,0.372502,0.996773,0.690359,0.996756,0.689975,0.0223722,0.0223602,0.501289,0.96761,0.999666,0.000250024,0.0005,0.000500125,0,7512600068124043673
4444,metric,directed,0.552917,0.366872,0.231355,0.9986,0.750648,0.998592,0.750296,0.0133531,0.0133438,0.502814,0.967885,0.999666,0.000250053,0.001507,0.000500125,0,9243231461731550061
4545,metric,directed,0.591118,0.417497,0.397214,0.996164,0.711844,0.99614,0.711419,0.017557,0.0175341,0.498963,0.968448,0.999666,0.000249933,0.000508417,0.000500125,0,9237439634471202478
4646,metric,directed,0.38151,0.283042,0.0780401,0.998675,0.722695,0.998667,0.722314,0.00736092,0.00734617,0.499246,0.968422,0.999666,0.000249996,0.00150592,0.000500125,0,16471789423557286906
4747,metric,directed,0.0862482,0.0780126,0.108873,0.998699,0.733853,0.998692,0.733523,0.00677617,0.00676967,0.500075,0.968825,0.999666,0.000250024,0.000496667,0.000500125,0,5764354274457717627
4848,metric,directed,0.334057,0.243045,0.282995,0.997891,0.718753,0.997877,0.71841,0.00878871,0.00877913,0.498143,0.969176,0.999666,0.000249999,0.000998833,0.000500125,0,929370163235647485
4949,metric,directed,0.520926,0.359562,0.207705,0.999281,0.787057,0.999276,0.786766,0.00426217,0.00425733,0.499986,0.969006,0.999666,0.000249989,0.0005,0.000500125,0,7897670316852742842
5050,metric,directed,0.104896,0.0918411,0.0807177,0.998566,0.773517,0.998558,0.773167,0.00915233,0.00915004,0.503679,0.967656,0.999666,0.000249965,0.001004,0.000500125,0,8610966102261512007
5151,metric,directed,0.169729,0.134221,0.378331,0.99778,0.700949,0.997766,0.700591,0.0138143,0.0137945,0.500837,0.96861,0.999665,0.000249908,0.000769,0.000500125,0,952789433277626565
5252,metric,directed,0.608596,0.390206,0.424116,0.995523,0.75534,0.995499,0.754987,0.0147221,0.0147016,0.498559,0.968757,0.999666,0.000250005,0.000500917,0.000500125,0,13493132353709333933
5353,metric,directed,0.162454,0.142997,0.317906,0.996818,0.709045,0.9968,0.708755,0.0124292,0.012417,0.499838,0.968321,0.999664,0.000249967,0.000251958,0.000500125,0,12535506671549849092
5454,metric,directed,0.448534,0.342068,0.201941,0.998106,0.721757,0.998092,0.721495,0.0134891,0.0134783,0.500097,0.968702,0.999666,0.00024999,0.000496083,0.000500125,0,11508579148161379995
5555,metric,directed,0.528832,0.357216,0.523929,0.9959,0.586824,0.995877,0.586476,0.0262197,0.02619,0.498685,0.96916,0.999666,0.000249833,0.00100883,0.000500125,0,11029409976304768434
5656,metric,directed,0.214739,0.185903,0.210856,0.997761,0.750742,0.997747,0.750438,0.0081075,0.00809321,0.501947,0.967439,0.999666,0.000250086,0.0005,0.000500125,0,9835217039994277977
101,metric,dyadic,0.625189,0.430491,0.464116,0.999159,0.735,0.99917,0.734941,0.00866088,0.00866263,0.497667,0.970417,0.999833,0.000250012,0.0015,0.000500125,0,3559426015699777325
202,metric,dyadic,0.417514,0.265718,0.111231,0.999344,0.700594,0.999353,0.700423,0.00801058,0.0080075,0.508333,0.968417,0.999833,0.000250006,0.000748375,0.000500125,0,8861501511035084803
303,metric,dyadic,0.166095,0.153899,0.443971,0.998625,0.712789,0.998643,0.712691,0.0121151,0.012111,0.498917,0.9705,0.999833,0.000250025,0.000758125,0.000500125,0,8975225533692162084
404,metric,dyadic,0.387736,0.303374,0.340965,0.999055,0.745022,0.999068,0.744854,0.0065245,0.006515,0.497,0.970417,0.999833,0.000250012,0.000493333,0.000500125,0,6408376361024084176
505,metric,dyadic,0.443386,0.310584,0.319556,0.999301,0.652982,0.99931,0.652882,0.00787071,0.0078645,0.50425,0.966167,0.999833,0.000250021,0.000757625,0.000500125,0,2417799959161368895
606,metric,dyadic,0.59118,0.397571,0.271208,0.998891,0.711049,0.998906,0.710825,0.00666208,0.00666417,0.50225,0.968667,0.999833,0.000249966,0.001252,0.000500125,0,8501317459509533388
707,metric,dyadic,0.579928,0.37574,0.372798,0.998888,0.7416,0.998903,0.741461,0.00966021,0.00965621,0.5,0.969333,0.999833,0.000249985,0.00172625,0.000500125,0,15662171287071666310
808,metric,dyadic,0.370576,0.270526,0.212088,0.998979,0.738547,0.998993,0.738467,0.00689088,0.00688867,0.498833,0.967667,0.999833,0.000250008,0.0005,0.000500125,0,18407015339054756915
909,metric,dyadic,0.62854,0.443627,0.458133,0.998699,0.750639,0.998717,0.750463,0.00863825,0.00863083,0.496917,0.970417,0.999833,0.000249991,0.000501583,0.000500125,0,4478544239149268252
1010,metric,dyadic,0.388828,0.289717,0.244212,0.999166,0.758942,0.999178,0.758751,0.00522096,0.00521121,0.498417,0.970167,0.999833,0.000249987,0,0.000500125,0,755190751463251717
1111,metric,dyadic,0.686613,0.508328,0.228502,0.99917,0.0553495,0.999181,0.0553318,0.00545342,0.00544838,0.50225,0.968167,0.999833,0.000249999,0.000249542,0.000500125,0,2585996189402064103
1212,metric,dyadic,0.237362,0.188847,0.377445,0.999068,0.724778,0.999081,0.72465,0.0100647,0.0100593,0.497583,0.969583,0.999833,0.000249964,0.000989333,0.000500125,0,10907425003270472288
1313,metric,dyadic,0.0455535,0.0489551,0.161872,0.999113,0.736967,0.999126,0.736812,0.00295446,0.00295408,0.496583,0.967417,0.999833,0.000249977,0.000252583,0.000500125,0,15571437015538450152
1414,metric,dyadic,0.544732,0.353936,0.129289,0.999481,0.781021,0.999489,0.780876,0.00388421,0.00387929,0.498417,0.968833,0.999833,0.000250041,0.000245833,0.000500125,0,13818401187068647710
1515,metric,dyadic,0.110794,0.0893608,0.166908,0.999018,0.685173,0.999031,0.685067,0.00977042,0.00976904,0.497417,0.968083,0.999833,0.00025,0.00150633,0.000500125,0,9520103818991610358
1616,metric,dyadic,0.572462,0.427266,0.360936,0.998622,0.739678,0.998642,0.739491,0.00696583,0.00696171,0.49375,0.97025,0.999833,0.00024999,0.000495917,0.000500125,0,6370879064388483270
1717,metric,dyadic,0.581214,0.362187,0.27423,0.99915,0.746938,0.999162,0.746812,0.00666771,0.006671,0.50375,0.9665,0.999833,0.000250018,0.000753,0.000500125,0,4617993730958730273
1818,metric,dyadic,0.053123,0.0595192,0.270764,0.99885,0.72489,0.998865,0.724773,0.00593475,0.00592629,0.501333,0.969667,0.999833,0.000249997,0.00150558,0.000500125,0,17586438532403991777
1919,metric,dyadic,0.650259,0.423792,0.169213,0.998996,0.726213,0.999011,0.726005,0.00464367,0.00463588,0.501167,0.968583,0.999833,0.000249972,0.000252542,0.000500125,0,6444216289996203163
2020,metric,dyadic,0.120246,0.0802437,0.407891,0.998219,0.743999,0.998245,0.743856,0.0124993,0.0124943,0.502083,0.967917,0.999833,0.000250006,0.000497833,0.000500125,0,14203824128266736466
2121,metric,dyadic,0.0999372,0.0801088,0.271326,0.998719,0.761846,0.998737,0.76168,0.00382496,0.00381829,0.497667,0.97075,0.999833,0.000250009,0.000749625,0.000500125,0,470293244118626530
2222,metric,dyadic,0.212951,0.175339,0.39092,0.999058,0.706175,0.999071,0.706064,0.0101595,0.010149,0.497333,0.969083,0.999833,0.000249996,0.00124963,0.000500125,0,690806196399698726
2323,metric,dyadic,0.109542,0.105121,0.224732,0.999274,0.740182,0.999285,0.740065,0.00392021,0.00391021,0.503917,0.966583,0.999833,0.000250004,0.000250792,0.000500125,0,16518831560136876437
2424,metric,dyadic,0.653819,0.419682,0.150214,0.999437,0.752333,0.999445,0.752158,0.00607979,0.00607829,0.500667,0.9685,0.999833,0.000250025,0.000746542,0.000500125,0,3390124477181697281
2525,metric,dyadic,0.666312,0.420892,0.130591,0.99966,0.7439,0.999665,0.743706,0.00464608,0.00464779,0.497083,0.97025,0.999833,0.000249979,0.00125475,0.000500125,0,1245026577677357165
2626,metric,dyadic,0.0640593,0.0708341,0.271548,0.998926,0.722602,0.998941,0.722476,0.00882242,0.00881675,0.506917,0.96925,0.999833,0.000249956,0.000252792,0.000500125,0,869329739285468153
2727,metric,dyadic,0.0423154,0.062768,0.296449,0.99931,0.531393,0.999319,0.53134,0.0104455,0.010447,0.4915,0.972,0.999833,0.000249998,0,0.000500125,0,12780902941967493027
2828,metric,dyadic,0.440244,0.348398,0.369108,0.998628,0.738036,0.998647,0.737844,0.00953529,0.00952408,0.491083,0.969917,0.999833,0.000249988,0.00174842,0.000500125,0,534076354844399053
2929,metric,dyadic,0.596273,0.396258,0.394906,0.998823,0.743515,0.998839,0.743398,0.00882517,0.0088265,0.50575,0.966167,0.999833,0.000249999,0.0005,0.000500125,0,11754423099787532076
3030,metric,dyadic,0.0374461,0.0496015,0.236021,0.999321,0.754353,0.999331,0.754204,0.00509121,0.00508704,0.5045,0.967917,0.999833,0.000249856,0.001,0.000500125,0,15376427095147143198
3131,metric,dyadic,0.353925,0.24378,0.19252,0.999046,0.727442,0.999059,0.727299,0.00654042,0.00653338,0.499917,0.96875,0.999833,0.000249969,0.000748333,0.000500125,0,9994664459323176775
3232,metric,dyadic,0.0421091,0.0578341,0.312274,0.998657,0.704214,0.998676,0.704112,0.0112155,0.0112147,0.496167,0.970167,0.999833,0.000250087,0.001,0.000500125,0,9846777445618850379
3333,metric,dyadic,0.0463864,0.0443777,0.387814,0.998647,0.726645,0.998665,0.726533,0.0113514,0.011343,0.49925,0.967417,0.999833,0.000249973,0.000252708,0.000500125,0,8825895997207593111
3434,metric,dyadic,0.0422804,0.0513589,0.277872,0.999197,0.774934,0.999209,0.774787,0.00512737,0.00511825,0.49625,0.969083,0.999833,0.000250003,0.0009995,0.000500125,0,14632231646609225605
3535,metric,dyadic,0.0412766,0.0647773,0.379296,0.999079,0.541691,0.999092,0.541588,0.00992021,0.0099205,0.501667,0.968,0.99975,0.000250026,0.000747792,0.000500125,0,2108637305347216239
3636,metric,dyadic,0.0638529,0.0728087,0.33158,0.998613,0.66623,0.998633,0.666108,0.0113917,0.0113855,0.494417,0.969667,0.999833,0.000250011,0.000752292,0.000500125,0,6543343146681988703
3737,metric,dyadic,0.0576689,0.0521025,0.44897,0.998794,0.744992,0.998811,0.74486,0.0105693,0.0105586,0.501,0.970667,0.999833,0.000249939,0.00124808,0.000500125,0,16296054133293611688
3838,metric,dyadic,0.340076,0.217949,0.240537,0.998989,0.791042,0.999004,0.790887,0.00388521,0.00388133,0.499333,0.969667,0.999833,0.000250006,0.00074875,0.000500125,0,10642942659404546619
3939,metric,dyadic,0.104244,0.0904878,0.274284,0.998925,0.779402,0.99894,0.779243,0.00440008,0.00439667,0.502333,0.966833,0.999833,0.000249999,0.0005,0.000500125,0,6058391405990210476
4040,metric,dyadic,0.180649,0.128245,0.260955,0.998781,0.744879,0.998798,0.744764,0.00616108,0.00615308,0.500083,0.967083,0.999833,0.000250014,0.00125208,0.000500125,0,7294425834470909113
4141,metric,dyadic,0.106279,0.109953,0.25793,0.998901,0.724636,0.998918,0.724485,0.00671087,0.00670421,0.501,0.967,0.999833,0.000249978,0.000990333,0.000500125,0,11629758876801713625
4242,metric,dyadic,0.234236,0.176467,0.401681,0.998751,0.715782,0.998769,0.715682,0.0111826,0.0111755,0.49875,0.968,0.999833,0.000250001,0.000749042,0.000500125,0,17409735103770715606
4343,metric,dyadic,0.0699683,0.0864817,0.395845,0.998945,0.719741,0.998959,0.719658,0.0115902,0.011591,0.501167,0.968083,0.999833,0.000250024,0.0005,0.000500125,0,7512600068124043673
4444,metric,dyadic,0.383894,0.267136,0.228946,0.999544,0.76524,0.99955,0.765167,0.006933,0.00693275,0.504667,0.96475,0.999833,0.000250053,0.001507,0.000500125,0,9243231461731550061
4545,metric,dyadic,0.435898,0.291936,0.425485,0.998664,0.725699,0.998682,0.725565,0.0106539,0.010654,0.49725,0.968833,0.999833,0.000249933,0.000508417,0.000500125,0,9237439634471202478
4646,metric,dyadic,0.1131,0.105424,0.0931937,0.999539,0.743839,0.999545,0.743708,0.0040565,0.00404963,0.496667,0.97,0.999833,0.000249996,0.00150592,0.000500125,0,16471789423557286906
4747,metric,dyadic,0.0545157,0.0440252,0.108825,0.999568,0.665699,0.999574,0.665595,0.00358988,0.00358842,0.50375,0.96975,0.999833,0.000250024,0.000496667,0.000500125,0,5764354274457717627
4848,metric,dyadic,0.073763,0.0654114,0.282253,0.999295,0.723677,0.999305,0.723538,0.00487975,0.00487817,0.5,0.968,0.999833,0.000249999,0.000998833,0.000500125,0,929370163235647485
4949,metric,dyadic,0.51105,0.350725,0.215645,0.999753,0.797301,0.999757,0.797139,0.00227454,0.00227433,0.507333,0.969833,0.999833,0.000249989,0.0005,0.000500125,0,7897670316852742842
5050,metric,dyadic,0.0514292,0.0428214,0.0837476,0.999539,0.784516,0.999545,0.784414,0.00478146,0.00478187,0.505667,0.967917,0.999833,0.000249965,0.001004,0.000500125,0,8610966102261512007
5151,metric,dyadic,0.425994,0.291754,0.380122,0.999182,0.737805,0.999193,0.737681,0.00821133,0.00820396,0.503167,0.96875,0.999833,0.000249908,0.000769,0.000500125,0,952789433277626565
5252,metric,dyadic,0.406934,0.286444,0.440567,0.998423,0.768622,0.998445,0.768481,0.00841521,0.00841,0.497,0.968,0.999833,0.000250005,0.000500917,0.000500125,0,13493132353709333933
5353,metric,dyadic,0.062032,0.0749518,0.369558,0.998879,0.693379,0.998894,0.693249,0.00941717,0.00941142,0.50125,0.969667,0.999833,0.000249967,0.000251958,0.000500125,0,12535506671549849092
5454,metric,dyadic,0.532702,0.384737,0.212046,0.999324,0.745904,0.999333,0.745953,0.00705004,0.00704992,0.503833,0.968667,0.999833,0.00024999,0.000496083,0.000500125,0,11508579148161379995
5555,metric,dyadic,0.312113,0.226266,0.522856,0.998508,0.584209,0.998528,0.584112,0.0135909,0.013582,0.500417,0.969,0.999833,0.000249833,0.00100883,0.000500125,0,11029409976304768434
5656,metric,dyadic,0.0560619,0.0670806,0.20456,0.999178,0.763503,0.99919,0.763357,0.00446954,0.00446692,0.50125,0.96875,0.999833,0.000250086,0.0005,0.000500125,0,9835217039994277977
