mixing,interaction,rA_mean,rV_mean,rate_mean,pair_x_corr_pre,pair_q_corr_pre,pair_x_corr_post,pair_q_corr_post,mutual_elev_pre,mutual_elev_post,repeat1,repeat5,repeat20,mean_pair_distance,same_family,unique_partners_frac,degree_cv
random,directed,0.358031,0.258118,0.284835,0.997223,0.703522,0.997191,0.702845,0.0135584,0.0135286,0.000250311,0.00124862,0.00498106,0.250003,0.000750658,0.776993,0.00749035
random,dyadic,0.289332,0.211004,0.290489,0.998929,0.713528,0.998956,0.713287,0.00751712,0.00750734,0.000250472,0.00124956,0.00498547,0.250003,0.000750658,0.95028,0.00331085
metric,directed,0.354982,0.25381,0.284932,0.99717,0.704305,0.997154,0.703965,0.0133892,0.0133751,0.499717,0.968552,0.999666,0.000249992,0.000772766,0.000500125,0
metric,dyadic,0.289762,0.210857,0.290188,0.99903,0.713706,0.999043,0.713577,0.00747878,0.00747455,0.500124,0.968749,0.999832,0.000249992,0.000772766,0.000500125,0
