seed,mixing,condition,recipient_rule,partner_signal_scale,alpha_scale,rA,rV,rate,pair_x_corr_post,pair_q_corr_post,repeat1,repeat5,repeat20,pair_digest
4646,random,D,original_one_sided,1,1,0.376685,0.271913,0.0792112,0.998691,0.728304,0.000248917,0.0012475,0.00496971,10612391144567432223
4747,random,D,original_one_sided,1,1,0.0763607,0.0739128,0.10873,0.998685,0.660217,0.000249458,0.0012525,0.00497838,2806913601698330356
4848,random,D,original_one_sided,1,1,0.328677,0.244648,0.281928,0.997904,0.721531,0.000250875,0.00124979,0.00497842,13041343288079651521
4949,random,D,original_one_sided,1,1,0.518766,0.356241,0.207658,0.999302,0.791095,0.000254875,0.00124758,0.00496025,15688078512293176947
5050,random,D,original_one_sided,1,1,0.102515,0.0843419,0.0802443,0.998569,0.77117,0.00025075,0.0012545,0.00498412,14347374636339464340
5151,random,D,original_one_sided,1,1,0.137155,0.107514,0.377866,0.997788,0.701814,0.000250292,0.00124867,0.00499575,9535685278167279799
5252,random,D,original_one_sided,1,1,0.614838,0.391764,0.424022,0.995499,0.753852,0.00025175,0.00125496,0.00498833,8498188523165093839
5353,random,D,original_one_sided,1,1,0.167859,0.154815,0.320509,0.996849,0.709743,0.000252458,0.00125383,0.00498387,11689919448206570347
5454,random,D,original_one_sided,1,1,0.399395,0.307897,0.201612,0.998114,0.72629,0.000251542,0.00125225,0.00500621,7295714592094838707
5555,random,D,original_one_sided,1,1,0.529514,0.350406,0.523071,0.99596,0.590287,0.000252958,0.00124667,0.00499229,5149605271688457828
5656,random,D,original_one_sided,1,1,0.219762,0.193731,0.211752,0.997828,0.757351,0.00024825,0.00125354,0.0049975,11541920501219194692
101,random,Y,both_update,1,1,0.631816,0.43321,0.464827,0.999086,0.738617,0.000248208,0.00124396,0.00500592,15088318594308599739
202,random,Y,both_update,1,1,0.411844,0.260957,0.111806,0.99929,0.70261,0.000248625,0.00125575,0.00498742,4914822966185049061
303,random,Y,both_update,1,1,0.178213,0.158623,0.445771,0.998559,0.715992,0.000253875,0.00126771,0.00500675,4592148954548078428
404,random,Y,both_update,1,1,0.38858,0.298991,0.341293,0.999011,0.745362,0.000249333,0.00125554,0.00499383,3352798620045422019
505,random,Y,both_update,1,1,0.443927,0.309203,0.319533,0.999252,0.655001,0.000247417,0.00124296,0.00498042,4759851087943297059
606,random,Y,both_update,1,1,0.59044,0.396092,0.271803,0.998821,0.71287,0.000251,0.00126108,0.00499421,7977712089098221410
707,random,Y,both_update,1,1,0.568345,0.375175,0.372705,0.998813,0.742235,0.000251792,0.00125763,0.00500646,6626978477444108832
808,random,Y,both_update,1,1,0.357585,0.26652,0.212458,0.998907,0.731409,0.000251792,0.00124754,0.00497671,8938853467923338380
909,random,Y,both_update,1,1,0.629929,0.442906,0.458274,0.998616,0.754607,0.000252875,0.00125146,0.00499371,7523379821232620433
1010,random,Y,both_update,1,1,0.39353,0.294995,0.2449,0.999106,0.756892,0.000249875,0.00125117,0.00500513,6095443981521357002
1111,random,Y,both_update,1,1,0.686062,0.509377,0.228815,0.99911,0.0550557,0.000251,0.00123296,0.00496196,1709130890311390258
1212,random,Y,both_update,1,1,0.238319,0.187236,0.378658,0.998994,0.727477,0.00025025,0.00125942,0.00500263,6566218846149515846
1313,random,Y,both_update,1,1,0.0457126,0.0490847,0.162619,0.999052,0.737419,0.000249875,0.00123775,0.00496054,5265459889430765273
1414,random,Y,both_update,1,1,0.535446,0.347012,0.129707,0.999433,0.775659,0.000251125,0.00126492,0.00501371,16757399655768377468
1515,random,Y,both_update,1,1,0.108163,0.0878398,0.16698,0.998923,0.691249,0.000244042,0.00124642,0.00496383,15553783089522774953
1616,random,Y,both_update,1,1,0.57403,0.429902,0.360186,0.998522,0.744208,0.000249292,0.0012575,0.00498654,2925567432917206370
1717,random,Y,both_update,1,1,0.571078,0.359755,0.273734,0.999079,0.747572,0.000247375,0.00123758,0.00498325,5315331658029473431
1818,random,Y,both_update,1,1,0.0529859,0.0593901,0.270618,0.998774,0.73036,0.000251375,0.0012485,0.00498958,8503298889816827995
